KDSA	LONG_KDSA	LAT_KDSA	Bogennummer
019/199	20.8333	54.3333	02517
019/201	21.0000	54.3333	02521
019/203	21.1667	54.3333	02527
019/205	21.3333	54.3333	02539
019/207	21.5000	54.3333	02543
019/209	21.6667	54.3333	02549
019/211	21.8333	54.3333	02559
019/213	22.0000	54.3333	02568
019/215	22.1667	54.3333	02577
019/217	22.3333	54.3333	02589
019/219	22.5000	54.3333	02597
020/043	 7.8333	54.2500	47862
020/053	 8.6667	54.2500	47863
020/055	 8.8333	54.2500	47871
020/057	 9.0000	54.2500	47886
020/059	 9.1667	54.2500	47893
020/061	 9.3333	54.2500	47898
020/063	 9.5000	54.2500	47906
020/065	 9.6667	54.2500	47910
020/067	 9.8333	54.2500	47915
020/069	10.0000	54.2500	47933
020/071	10.1667	54.2500	47947
020/073	10.3333	54.2500	47949
020/075	10.5000	54.2500	47959
020/077	10.6667	54.2500	47965
020/079	10.8333	54.2500	47978
020/081	11.0000	54.2500	47985
020/095	12.1667	54.2500	48519
020/097	12.3333	54.2500	51295
020/099	12.5000	54.2500	51304
020/101	12.6667	54.2500	51309
020/103	12.8333	54.2500	51316
020/105	13.0000	54.2500	51323
020/107	13.1667	54.2500	51332
020/135	15.5000	54.2500	52272
020/137	15.6667	54.2500	52276
020/139	15.8333	54.2500	52284
020/141	16.0000	54.2500	52293
020/143	16.1667	54.2500	52304
020/145	16.3333	54.2500	52310
020/147	16.5000	54.2500	52319
020/149	16.6667	54.2500	52324
020/151	16.8333	54.2500	52332
020/153	17.0000	54.2500	52336
020/155	17.1667	54.2500	52337
020/157	17.3333	54.2500	52343
020/159	17.5000	54.2500	52349
020/161	17.6667	54.2500	52352
020/163	17.8333	54.2500	52355
020/165	18.0000	54.2500	52356
020/167	18.1667	54.2500	52362
020/169	18.3333	54.2500	52375
020/171	18.5000	54.2500	52393
020/173	18.6667	54.2500	52399
020/175	18.8333	54.2500	52407
020/177	19.0000	54.2500	52423
020/179	19.1667	54.2500	52425
020/181	19.3333	54.2500	02603
020/183	19.5000	54.2500	02613
020/185	19.6667	54.2500	02622
020/187	19.8333	54.2500	02629
020/189	20.0000	54.2500	02639
020/191	20.1667	54.2500	02643
020/193	20.3333	54.2500	02653
020/195	20.5000	54.2500	02661
020/197	20.6667	54.2500	02670
020/199	20.8333	54.2500	02678
020/201	21.0000	54.2500	02681
020/203	21.1667	54.2500	02688
020/205	21.3333	54.2500	02699
020/207	21.5000	54.2500	02705
020/209	21.6667	54.2500	02709
020/211	21.8333	54.2500	02716
020/213	22.0000	54.2500	02726
020/215	22.1667	54.2500	02730
020/217	22.3333	54.2500	02748
020/219	22.5000	54.2500	02750
021/055	 8.8333	54.1667	47996
021/057	 9.0000	54.1667	48002
021/059	 9.1667	54.1667	48006
021/061	 9.3333	54.1667	48015
021/063	 9.5000	54.1667	48024
021/065	 9.6667	54.1667	48030
021/067	 9.8333	54.1667	48036
021/069	10.0000	54.1667	48041
021/071	10.1667	54.1667	48054
021/073	10.3333	54.1667	48061
021/075	10.5000	54.1667	48068
021/077	10.6667	54.1667	48078
021/079	10.8333	54.1667	48094
021/087	11.5000	54.1667	48522
021/089	11.6667	54.1667	48525
021/091	11.8333	54.1667	48530
021/093	12.0000	54.1667	48543
021/095	12.1667	54.1667	48552
021/097	12.3333	54.1667	51345
021/099	12.5000	54.1667	51352
021/101	12.6667	54.1667	51358
021/103	12.8333	54.1667	51361
021/105	13.0000	54.1667	51376
021/107	13.1667	54.1667	51381
021/109	13.3333	54.1667	51391
021/111	13.5000	54.1667	51401
021/113	13.6667	54.1667	51402
021/131	15.1667	54.1667	51416
021/133	15.3333	54.1667	00544
021/135	15.5000	54.1667	00549
021/137	15.6667	54.1667	00562
021/139	15.8333	54.1667	00577
021/141	16.0000	54.1667	00585
021/143	16.1667	54.1667	00594
021/145	16.3333	54.1667	00596
021/147	16.5000	54.1667	00602
021/149	16.6667	54.1667	00607
021/151	16.8333	54.1667	00617
021/153	17.0000	54.1667	00622
021/155	17.1667	54.1667	00626
021/157	17.3333	54.1667	00631
021/159	17.5000	54.1667	00639
021/163	17.8333	54.1667	00642
021/165	18.0000	54.1667	00644
021/167	18.1667	54.1667	00649
021/169	18.3333	54.1667	00662
021/171	18.5000	54.1667	00668
021/173	18.6667	54.1667	00680
021/175	18.8333	54.1667	00685
021/177	19.0000	54.1667	00700
021/179	19.1667	54.1667	00705
021/181	19.3333	54.1667	02753
021/183	19.5000	54.1667	02762
021/185	19.6667	54.1667	02777
021/187	19.8333	54.1667	02794
021/189	20.0000	54.1667	02805
021/191	20.1667	54.1667	02811
021/193	20.3333	54.1667	02815
021/195	20.5000	54.1667	02822
021/197	20.6667	54.1667	02832
021/199	20.8333	54.1667	02844
021/201	21.0000	54.1667	02850
021/203	21.1667	54.1667	02855
021/205	21.3333	54.1667	02865
021/207	21.5000	54.1667	02868
021/211	21.8333	54.1667	02876
021/215	22.1667	54.1667	02883
021/217	22.3333	54.1667	02892
021/219	22.5000	54.1667	02898
022/055	 8.8333	54.0833	48100
022/057	 9.0000	54.0833	48105
022/059	 9.1667	54.0833	48113
022/061	 9.3333	54.0833	48117
022/063	 9.5000	54.0833	48126
022/065	 9.6667	54.0833	48137
022/067	 9.8333	54.0833	48143
022/069	10.0000	54.0833	48155
022/071	10.1667	54.0833	48159
022/073	10.3333	54.0833	48165
022/075	10.5000	54.0833	48173
022/077	10.6667	54.0833	48188
022/087	11.5000	54.0833	48564
022/089	11.6667	54.0833	48569
022/091	11.8333	54.0833	48582
022/093	12.0000	54.0833	48592
022/095	12.1667	54.0833	48607
022/097	12.3333	54.0833	50904
022/099	12.5000	54.0833	50913
022/101	12.6667	54.0833	50918
022/103	12.8333	54.0833	50922
022/105	13.0000	54.0833	50935
022/107	13.1667	54.0833	50942
022/109	13.3333	54.0833	50947
022/111	13.5000	54.0833	50956
022/113	13.6667	54.0833	50963
022/115	13.8333	54.0833	50969
022/127	14.8333	54.0833	50984
022/129	15.0000	54.0833	50991
022/131	15.1667	54.0833	51006
022/133	15.3333	54.0833	00402
022/135	15.5000	54.0833	00407
022/137	15.6667	54.0833	00421
022/139	15.8333	54.0833	00429
022/141	16.0000	54.0833	00435
022/143	16.1667	54.0833	00444
022/145	16.3333	54.0833	00450
022/147	16.5000	54.0833	00456
022/149	16.6667	54.0833	00459
022/151	16.8333	54.0833	00463
022/153	17.0000	54.0833	00469
022/155	17.1667	54.0833	00475
022/157	17.3333	54.0833	00476
022/159	17.5000	54.0833	00478
022/165	18.0000	54.0833	00482
022/167	18.1667	54.0833	00489
022/169	18.3333	54.0833	00498
022/171	18.5000	54.0833	00503
022/173	18.6667	54.0833	00504
022/175	18.8333	54.0833	00505
022/177	19.0000	54.0833	00515
022/179	19.1667	54.0833	00529
022/181	19.3333	54.0833	03163
022/183	19.5000	54.0833	03182
022/185	19.6667	54.0833	03187
022/187	19.8333	54.0833	03194
022/189	20.0000	54.0833	03203
022/191	20.1667	54.0833	03211
022/193	20.3333	54.0833	03214
022/195	20.5000	54.0833	03220
022/197	20.6667	54.0833	03230
022/199	20.8333	54.0833	03236
022/201	21.0000	54.0833	03247
022/203	21.1667	54.0833	03253
022/205	21.3333	54.0833	03260
022/209	21.6667	54.0833	03268
022/211	21.8333	54.0833	03271
022/215	22.1667	54.0833	03278 
022/217	22.3333	54.0833	03283
022/219	22.5000	54.0833	03292
023/055	 8.8333	54.0000	48197
023/059	 9.1667	54.0000	48216
023/061	 9.3333	54.0000	48614
023/063	 9.5000	54.0000	48627
023/065	 9.6667	54.0000	48637
023/067	 9.8333	54.0000	48648
023/069	10.0000	54.0000	48653
023/071	10.1667	54.0000	48657
023/073	10.3333	54.0000	48665
023/075	10.5000	54.0000	48682
023/077	10.6667	54.0000	48696
023/079	10.8333	54.0000	48705
023/081	11.0000	54.0000	48709
023/083	11.1667	54.0000	48720
023/085	11.3333	54.0000	48727
023/087	11.5000	54.0000	48732
023/089	11.6667	54.0000	48744
023/091	11.8333	54.0000	48754
023/093	12.0000	54.0000	48766
023/095	12.1667	54.0000	48768
023/097	12.3333	54.0000	50762
023/099	12.5000	54.0000	50768
023/101	12.6667	54.0000	50777
023/103	12.8333	54.0000	50785
023/105	13.0000	54.0000	50798
023/107	13.1667	54.0000	50804
023/109	13.3333	54.0000	50810
023/111	13.5000	54.0000	50821
023/113	13.6667	54.0000	50825
023/115	13.8333	54.0000	50830
023/117	14.0000	54.0000	50836
023/121	14.3333	54.0000	50844
023/123	14.5000	54.0000	50846
023/125	14.6667	54.0000	50857
023/127	14.8333	54.0000	50870
023/129	15.0000	54.0000	50883
023/131	15.1667	54.0000	50895
023/133	15.3333	54.0000	00307
