KDSA Quadrant	OCR: Kontrolle	OCR: KDSA Name
027/069	027/069	Bramfeld
027/071	027/071	Kronshorst
027/073	027/073	Kuddewörde
027/075	027/075	Alt-Mölln
027/077	027/077	Sterley
027/079	027/079	Groß Zecher
027/081	027/081	Krembz
027/083	027/083	Groß Welzin
027/085	027/085	Schwerin
027/087	027/087	Pinnow
027/089	027/089	Barnin
027/091	027/091	Dabel
027/093	027/093	Dobbertin
027/095	027/095	Krakow am See
027/099	027/099	Alt-Gaarz
027/101	027/101	Levenstorf
027/103	027/103	Clausdorf
027/105	027/105	Galenbeck
027/107	027/107	Zirzow
027/109	027/109	Staven
027/111	027/111	Brohm
027/113	027/113	Gehren
027/115	027/115	Wilhelmsburg
027/117	027/117	Torgelow
027/119	027/119	Klein Mützelburg
027/123	027/123	Wilhelmsdorf
027/125	027/125	Hackenwalde
027/127	027/127	Basenthin
027/129	027/129	Hindenburg
027/131		
027/135		
027/137		
027/139		
027/141		
027/143		
027/145		
027/147		
027/149		
027/151		
027/153		
027/155		
027/157		
027/159		
027/161		
027/167		
027/171		
027/173		
027/175		
027/177		
027/179		
027/181		
027/183		
027/185		
028/033		
028/035		
028/037		
028/039		
028/041		
028/043		
028/045		
028/047		
028/049		
028/051		
028/053		
028/055		
028/057	028/057	Iselersheim
028/059	028/059	Elm
028/061	028/061	Deinste
028/063	028/063	Horneburg
028/065	028/065	Oster-Ladecop
028/067	028/067	Altenwerder
028/069	028/069	Steinbek
028/071	028/071	Havighorst
028/073	028/073	Basthorst
028/075	028/075	Kankelau
028/077	028/077	Grambek
028/079	028/079	Zarrentin
028/081	028/081	Wittenburg
028/083	028/083	Hülseburg
028/085	028/085	Boldela
028/087	028/087	Crivitz
028/089	028/089	Friedrichsruhe
028/091	028/091	Augzin
028/093	028/093	Sehlstorf
028/095	028/095	Groß Poserin
028/097	028/097	Drewitz
028/099	028/099	Damerow
028/103	028/103	Groß Dratow
028/105	028/105	Lapitz
028/107	028/107	Broda
028/109	028/109	Sponholz
028/111	028/111	Neetzka
028/113	028/13	chonnausch
028/115	028/115	Jatznick
028/117	028/117	Liepe
028/119	028/119	Pampow
028/121	028/121	Falkenwalde
028/123	028/123	Trestin
028/125	028/125	Grünhorst
028/127	028/127	Diedrichsdorf
028/129	028/129	Hohen-Schonau
028/131	028/131	Schönwalde
028/133	028/133	Braunsberg
028/135	028/135	Piepstock
028/137	028/137	Heinrichsfelde
028/139	028/139	Sarranzig
028/141	028/141	Falkenburg
028/143	028/143	Brotzen
028/145	028/145	Neblin
028/147	028/147	Groß Born
028/151		
028/153	028/153	Peterswalde
028/155	028/155	Stretzin
028/157	028/157	Grunau
028/159	028/159	Obkass
028/161	028/161	Pantau
028/165	028/165	Iwitz
028/169	028/169	Czersk
028/171	028/171	Groß Sibsau
028/173	028/173	Sackrau
028/175	028/175	Doszoczyn (Schöntal)
028/177	028/177	Groß Schönwalde
028/179	028/179	Schwenten
028/181	028/181	Guben
028/183	028/183	Klein Sehren
028/185	028/185	Fiewo
029/033	029/033	Hamswehrum
029/035	029/035	Grimersum
029/037	029/037	Aurich
029/039	029/039	Wiesens
029/043	029/043	Abickhafe
029/045	029/045	Driefel
029/047	029/047	Reitland
029/049	029/049	Eidewarden
029/051	029/051	Overwarfe
029/053	029/053	Stinstedt
029/055	029/055	Wollingst
029/057	029/057	Bremervörde
029/059	029/059	Hesedorf
029/061	029/061	Ohrensen
029/065	029/065	Immenbek
029/067	029/067	Moorburg
029/069	029/069	Ochsenwerder
029/071	029/071	Bergedorf
029/073	029/073	Kollow
029/075	029/075	Franzhagen
029/077	029/077	Gresse
029/079	029/079	Marsor
029/081	029/081	Zühr
029/083	029/083	Kirch-Jesar
029/085	029/085	Hoort
029/087	029/087	Dreenkrögen
029/089	029/089	Damerow
029/091	029/091	Stralendorf
029/093	029/093	Lübz
029/095	029/095	Plau
029/097	029/097	Petersdorf
029/099	029/099	Klink
029/101	029/101	Kargow
029/103	029/103	Liepen
029/105	029/105	Hohenzieritz
029/107	029/107	Klein Nemerow
029/109	029/109	Dewilz
029/111	029/111	Hinrichshagen
029/113	029/113	Hetzdorf
029/115	029/115	Werbelow
029/117	029/117	Neuenfeld
029/119	029/119	Löcknitz
029/121	029/121	Daber
029/123	029/123	Neu-Torney
029/125	029/125	Groß Christinenberg
029/127	029/127	Stevenhagen
029/129	029/129	Storkow
029/131	029/131	Sassenburg
029/133	029/133	Sadelberg
029/135	029/135	Nörenberg
029/137	029/137	Zamzow
029/139	029/139	Stöwen
029/141	029/141	Virchow
029/143	029/143	Groß Linichen
029/145	029/145	Machlin
029/147	029/147	Neu-Zippnow
029/149	029/149	Zamborst
029/151	029/151	Hohenfier
029/153	029/153	Karlsdorf
029/155	029/155	Linde
029/157	029/157	Klein Lutau
029/159	029/159	Zempelburg
029/161	029/161	Groß Klonia
029/163	029/163	Minikowo
029/165	029/165	Lubiewo
029/167	029/167	Karlshorst
029/169	029/169	Biechowo
029/171	029/171	Klein Zappeln
029/173	029/173	Rossgarten
029/175	029/175	Okonin
029/177	029/177	Groß Leistenau
029/181	029/181	Skarlin
030/033	030/033	Campen
030/035	030/035	Westerhusen
030/037	030/037	Tergast
030/039	030/039	Iheringsfehn II
030/041	030/041	Neudorf
030/043	030/043	Astede
030/045	030/045	Bockhorn
030/047	030/047	Jade
030/049	030/049	Rodenkirchen
030/051	030/051	Sandstedt
030/053	030/053	Bokel
030/055	030/055	Giehlermoor
030/057	030/057	Karlshöfen
030/059	030/059	Deinstedt
030/061	030/061	Ahrenswohlde
030/065	030/065	Wentzendorf
030/067	030/067	Fleestedt
030/071	030/071	Tönnhausen
030/073	030/073	St. Dionys
030/075	030/075	Buchhorst
030/077	030/077	Boizenburg
030/079	030/079	Düssin
030/081	030/081	Kloddram
030/083	030/083	Bresegard
030/085	030/085	Warlow
030/087	030/087	Wöbbelin
030/089	030/089	Spornitz
030/091	030/091	Slate
030/093	030/093	Redlin
030/095	030/095	Gnevsdorf
030/097	030/097	Leitzen
030/099	030/099	Minzow
030/101	030/101	Rechlin
030/103	030/103	Granzin
030/105	030/105	Zierke
030/107	030/107	Watzkendorf
030/109	030/109	Bredenfelde
030/111	030/111	Graünhagen
030/113	030/113	Wittstock
030/115	030/115	Bindou
030/117	030/117	Grenz
030/119	030/119	Retzin
030/121	030/121	Klein Reinkendorf
030/123	030/123	Güstow/Stettin
030/125	030/125	Buchholz
030/127	030/127	Saarow
030/129	030/129	Kietzig
030/131	030/131	Neu-Damerow
030/133	030/133	Saatzig
030/135	030/135	Kremmin
030/137	030/137	Wedelsdorf
030/139	030/139	Groß Spiegel
030/141	030/141	Wordel
030/143	020/143	Hohenstein
030/145	030/145	Kessburg
030/147	030/147	Jagdhaus
030/149	030/149	Betkenhammer
030/151	030/151	Gursen
030/153	030/153	Neu-Schwente
030/155	030/155	Kujan
030/157	030/157	Seefelde
030/159	030/159	Schönwalde
030/161	030/161	Sassnow
030/163	020/163	Lutschmin
030/165	030/165	Suchau
030/167	030/167	Lowin
030/169	030/169	Kossowo
030/171	020/171	Neusass
030/173	030/173	Weisshof
030/175	030/175	Neuhof
030/177	030/177	Lindenthal
030/179	030/179	Kamin
030/181	030/181	Czychen
030/183	030/183	Klein Ballowken
031/035	031/035	Ditzum
031/037	031/037	Midlum
031/039	031/039	Holland
031/041	031/041	Nordgeorgsfehn
031/043	031/043	Holtwege
031/045	031/045	Wapeldorf
031/047	031/047	Delfshausen
031/049	031/049	Oldenbrok
031/051	031/051	Wersabe
031/053	031/053	Garlsledt
031/055	031/055	Heissenbüttel
031/057	031/057	Rhadereistedt
031/059	031/059	Oldendorf
031/061	031/061	Groß Meckelsen
031/063	031/063	Sittensen
031/065	031/065	Todtglüsingen
031/067	031/067	Jesteburg
031/069	031/069	Pattensen
031/071	031/071	Bahlburg
031/073	031/073	Bardowick
031/075	031/075	Scharnebeck
031/077	031/077	Karze
031/079	031/079	Konau
031/081	031/081	Garlitz
031/083	031/083	LeuBow
031/085	031/085	Göhlen
031/087	031/087	Kremmin
031/089	031/089	Stresendorf
031/091	031/091	Marnitz
031/093	031/093	Putlitz
031/095	031/095	Grabow
031/097	031/097	Zepkow
031/099	031/099	Kambs
031/101	031/101	Lärz
031/103	031/103	Leusow
031/105	031/105	Groß Ouassow
031/107	031/107	Goldenbaum
031/109	031/109	Neuhof
031/111	031/111	Boitzenburg
031/113	031/113	Kröchlendorf
031/115	031/115	Alexanderhof
031/117	031/117	Schmölln
031/119	031/119	Schönfeld
031/121	031/121	Nadrensee
031/123	031/123	Garden
031/125	031/125	Kolow
031/127	031/127	Belkow
031/129	031/129	Strebelow
031/131	031/131	Suckow
031/133	031/133	Altheide
031/135	031/135	Groß Silber
031/137	031/137	Gabbert
031/139	031/139	Kallies
031/141	031/141	Alt-Lobitz
031/143	031/143	Alt-Prochnow
031/145	031/145	Klausdorf
031/147	031/147	Zechendorf
031/149	031/149	Kramske
031/151	031/151	Paruschke (Treuenheide)
031/153	031/153	Wonzow
031/155	031/155	Skietz (Kietz)
031/157	031/157	Rosmin
031/159	031/159	Sittnow
031/161	031/161	Moritzfelde
031/163	031/163	Witoldowo (Wittelsdorf)
031/167	031/167	Kokotzkow (Kökschufer)
031/169	021/160	Watterawo
031/171	031/171	Priewitten
031/173	031/173	Dombrowken
031/175	031/175	Fronau
031/177	031/177	Piwnitz
031/179	031/179	Groß Kruschin
032/035	032/035	St. Georgiwold
032/037	032/037	Kirchborgum
032/039	032/039	Logabirum
032/041	032/041	Bokel
032/043	032/043	Ocholt
032/045	032/045	Aschhausen
032/047	032/047	Hankhausen
032/049	032/049	Weserdeich
032/051	032/051	Hannöver
032/053	032/053	Ruschhausen
032/055	032/055	Mooringen
032/057	032/057	Schmalenbeck
032/059	032/059	Gyhum
032/061	032/061	Elsdorf
032/065	032/065	Otter
032/069	032/069	Nindorf
032/071	032/071	Kirchgellersen
032/073	032/073	Heiligenthal
032/075	032/075	Reinstorf
032/077	032/077	Ellringen
032/079	032/079	Vockfey
032/081	032/081	Stixe
032/083	032/083	Grebs
032/085	032/085	Eldena
032/087	032/087	Semmerin
032/089	032/089	Postlin
032/091	032/091	Bresch
032/093	032/093	Triglitz
032/095	032/095	Falkenhagen
032/097	032/097	Maulbeerwalde
032/099	032/099	Dranse
032/101	032/101	Schwarz
032/103	032/103	Strasen
032/105	032/105	Fürstenberg
032/107	032/107	Neu-Thymen
032/111	032/111	Claushagen
032/113	032/113	Haßleben
032/115	032/115	Seehausen
032/117	032/117	Fredersdorf
032/119	032/119	Petershagen
032/121	032/121	Mescherin
032/123	032/123	Kronheide
032/125	032/125	Wartenberg
032/127	032/127	Briesen
032/129	032/129	Lübtow
032/131	032/131	Dölitz
032/133	032/133	Schlagenthin
032/135	032/135	Zägensdorf
032/139	032/130	Neu-Körtnitz
032/141	032/141	Schulzendorf
032/143	032/143	Carmeledorf
032/145	032/145	Rosenfelde
032/147	032/147	Breitenstein
032/149	032/149	Lebehnke
032/151	032/151	Moschütz
032/153	032/153	Smirdowo (Schmirtenan
032/157	032/157	Debenke
032/159	032/159	Wertheim
032/161	032/161	Wilhelmsort
032/163	032/163	Mühlthal
032/167	032/167	Trensatz
032/169	032/169	Trebis (Trebez)
032/171	032/171	Dubielno (Dübeln)
032/173	032/173	Elisenau
032/175	032/175	Zielen
032/177	032/177	Lobdowo (Lobedau)
032/179	032/179	Malken
032/181	032/181	Komini
032/183	022/182	GoranC
033/035	033/035	Brual
033/037	033/037	Mitling-Mark
033/039	033/030	Ostrhauderfehn
033/041	033/041	Campe
033/043	033/043	Osterschens
033/045	033/045	Bloherfelde
033/047	033/047	Eversten
033/049	033/049	Hude
033/051	033/051	Hiddigwarden
033/053	033/053	Seehausen
033/055	033/055	Seebergen
033/057	033/057	Otterstedt
033/059	033/059	Stuckenborstel
033/061	023/061	Rotenburg
033/063	033/063	Brockel
033/065	023/065	Schneverdingen
033/067	033/067	Volkwardingen
033/069	033/069	Evendorf
033/071	033/071	Oldendorf
033/073	033/073	Barnstedt
033/075	033/075	Edendorf
033/077	033/077	Oldendorf
033/079	033/079	Bredenbock
033/081	033/081	Hitzacker
033/083	033/083	Groß Schmölen
033/085	033/085	Polz
033/087	033/087	Nausdorf
033/089	033/089	Karstädt
033/091	033/091	Rohlsdorf
033/093	033/093	Klein Gottschow
033/095	033/095	Buchholz
033/097	033/097	Papenbruch
033/099	033/099	Goldbeck
033/101	033/101	Wallitz
033/103	033/103	Zechlinerhütte
033/105	033/105	Menz
033/107	033/107	Zootzen
033/109	033/109	Densow
033/111	033/111	Petznick
033/113	033/113	Alt-Temmen
033/115	033/115	Günterberg
033/117	022/117	Biesenbrow
033/119	033/119	Kunow
033/121	033/121	Friedrichsthal
033/123	033/123	Liebenow
033/125	033/125	Cunow
033/127	033/127	Megow
033/129	033/129	Kossin
033/131	033/131	Warsin
033/133	033/133	Goutberg
033/135	033/135	Plagow
033/137	033/137	Berkenbrügge
033/139	033/139	Zatten
033/141	033/141	Grüneberg
033/143	033/143	Buchholz
033/145	033/145	Rose
033/147	023/147	Kappe
033/149	033/149	Motylewo
033/151	033/151	Erpel
033/153	033/153	Friedheim
033/155	033/155	Wirsitz
033/159	033/159	Trzeciewnica
033/161	033/161	Lochowice
033/163	033/163	Kolonie Kruschdorf
033/165	033/165	Otteraue
033/167	033/167	@arnowo (Scharnau)
033/169	033/169	Pensau
033/173	033/173	Richnau(Groß Reichenau)
033/175	033/175	Schönsee
033/177	033/177	Galczewo
034/035	034/035	Herbrum
034/039	034/039	Bockhorst
034/041	024/041	Neuscharrel
034/043	034/043	Friesoythe
034/045	034/045	Littel
034/047	034/047	Wardenburg
034/049	034/049	Dingstede
034/051	034/051	Elmeloh
034/053	034/053	Huchtingen
034/055	034/055	Dreye
034/057	034/057	Baden
034/059	034/059	Ahausen
034/061	034/061	Riekenbostel
034/063	034/063	Moordorf
034/065	034/065	Behningen
034/067	034/067	Heber
034/069	034/069	Pralah
034/071	034/071	Lopau
034/073	034/073	Natendorf
034/075	034/075	Seedorf
034/077	034/077	Süttori
034/079	034/079	Groß Wittleitzen
034/081	034/081	brescienz
034/083	034/083	Siemen
034/085	034/085	Groß Wootz
034/087	024/087	wuerrow
034/089	034/089	Bentwisch
034/091	034/091	Groß Gottschow
034/093	024/003	Gar7
034/095	034/095	Schonebeck
034/097	034/097	Wuticke
034/099	024/000	Rassow
034/101	034/101	Frankendorf
034/103	034/103	Dierberg
034/105	034/105	Groß Woltersdorl
034/107	034/107	Ornow
034/109	034/109	Kurtschlag
034/111		
034/113	034/113	Poratz
034/115	034/115	Wolletz
034/117	034/117	Nieder Landin
034/119	034/119	Flemsdori
034/121	034/121	Uchtdorf
034/125	034/125	Linde
034/127	034/127	Kraazen
034/129	034/129	Deetz
034/131	034/131	Jagow
034/133	034/133	Mandelkow
034/135	034/135	Göhren
034/137	034/137	Bernsec
034/139	034/139	Prossekel (Wiesental)
034/141	034/141	Trebbin
034/143	034/143	Drannow
034/145	034/145	Schonianke
034/147	034/147	Behle
034/149	034/149	Miroslaw (Buschhagen)
034/151	034/151	Studsin
034/155	034/155	Choyna (Fichtenwald)
034/157	034/157	Gromaden
034/161	034/161	Friedbere
034/163	034/163	Zielonke
034/165	034/165	Walownica (Netzheim)
034/167	034/167	Schloßhauland
034/169	024/169	Rossgarten
034/173	034/173	Rogowo (Groß Rogau)
035/035	035/035	Heede
035/037	035/037	Neuborger
035/039	035/039	LoruD
035/041	035/041	Neuvrees
035/043	035/043	Augustendori
035/045	035/045	Garrel
035/047	035/047	Sage
035/049	024/049	Neerstedt
035/051	035/051	Klein menstedl
035/053	035/053	Wullhoop
035/055	035/055	Kirchweyhe
035/057	035/057	Daverden
035/059	035/059	Langwedel
035/061	035/061	Groß Heins
035/063	035/063	Visselhövede
035/065	035/065	Woltem
035/067	035/067	Soltau
035/069	035/069	Munsier
035/071	035/071	Wichtenbeck
035/073	035/073	Gerdau
035/075	035/075	Veerser
035/077	035/077	Wellendorf
035/079	035/079	Kielen
035/081	035/081	Küsten
035/083	035/083	Klein Brese
035/085	035/085	Prezelle
035/087	035/087	Jeggel
035/089	O3S/089	Geestgottberg
035/091	035/091	Klein Lüben
035/093	035/093	Kletzke
035/095	035/095	Demerthin
035/097	024/007	Drewen
035/099	035/099	Blankenberg
035/101	035/101	Werder
035/103	02</103	Wulkow
035/105	035/105	Keller
035/107	035/107	Buberow
035/109	035/109	Damm-Hast
035/111	035/111	Groß Dölln
035/113	035/113	Amt-Ormnitz
035/115	035/115	Schmargendorf
035/117	035/117	Neu-Künkendorf
035/121	035/121	Rörchen
035/123	035/123	Steinwehr
035/125	035/125	Rufen
035/127	035/127	Simonsdorf
035/129	035/129	Adamsdorf
035/133	035/133	Bussow
035/135	035/135	Mansfelde
035/137	035/137	Wutzig
035/139	035/139	Mehrenthin
035/141	035/141	Glashütte
035/143	035/143	Groß Drensen
035/145	035/145	Jägersburg
035/147	035/147	Sarben
035/149	035/149	Fitzerie
035/151	035/151	Podanin
035/153	035/153	Margoninsdor
035/155	035/155	Rybowo (Fischdorf)
035/157	035/157	Panigrodz (Frauengarten)
035/165	035/165	Adlig-Brühlsdorf
035/167	035/167	Elsendorf
035/169	035/169	Groß Glinnow
035/171	035/171	Groß Nessau
035/173	035/173	Zlotterie (Zollburg)
036/033	026/023	Rütenbrock
036/035	036/035	Oberlangen
036/039	036/039	Herrenstätle
036/041	036/041	Vrees
036/043	036/043	Petersfelde
036/045	036/045	Emstek
036/047	036/047	Ahlhorn
036/049	036/049	Holzhausen
036/051	036/051	Köhren
036/053	036/053	Syke
036/055	036/055	Neubruchhausen
036/057	036/057	Eitzendorf
036/059	036/059	Döhlbergen
036/061	026/061	Vethem
036/063	036/063	Meinerdingen
036/065	036/065	Einzingen
036/067	026/067	Wardonmen
036/069	036/069	Bonstorf
036/071	036/071	Ohöfe
036/073	036/073	Suderburg
036/075	036/075	Stederdorf
036/077	036/077	Ostedt
036/079	036/079	Proitze
036/081	026/081	Blüthingen
036/083	036/083	Witzeeze
036/085	036/085	Kläden
036/087	036/087	Leppin
036/089	036/089	Degnede
036/091	036/091	Lichterfelde
036/095	036/095	Breddin
036/097	036/097	Zernitz
036/099	036/099	Rohrlack
036/101	036/101	BUSKOW
036/103	036/103	Rüthnick
036/105	036/105	Löwenberg
036/107	036/107	Teschendorf
036/109	036/109	Kreuzbruch
036/111	036/111	Klandorf
036/113	036/113	brIlZ
036/115	036/115	Brodowin
036/117	036/117	Hohensaathen
036/119	036/119	Klemzon
036/121	036/121	Gellen
036/123	036/123	Pätzig
036/125	036/125	Rostin
036/127	036/127	Mietzelfelde
036/129	036/129	Karzig
036/133	036/133	Birkhoz
036/135	036/135	Lichteno
036/137	036/137	Vorbruch
036/139	036/139	Neu-Dessau
036/141	036/141	Kienwerder
036/143	026/143	Follstein
036/147	036/147	Sophienberg
036/149	036/149	Beversdori
036/151	036/151	Tlukawy (Schwanenfelde)
036/153	036/153	Siebenschlosschen
036/155	036/155	Leknow (Klostersee)
036/161	036/161	Bialoschewin
036/163	036/163	Bartschin (Bartelstein)
036/165	036/165	Wygoda (Liebensee)
036/167	036/167	Johannisdorf
036/169	036/169	Seedort
036/171	036/171	Holl-Grabia (Herzogsfelde)
037/033	037/033	Altenberge
037/035	037/035	Tinnen
037/037	037/037	Klein Bersen
037/039	037/039	HerBum
037/041	037/041	Großenging
037/043	037/043	Hemmelte
037/045	037/045	Cappeln
037/047	037/047	Norddöllen
037/049	037/049	Russen
037/051	027/0<1	Borwede
037/053	037/053	Apelstedt
037/055	037/055	Engeln
037/057	037/057	Wöpse
037/059	027/059	Schweringen
037/061	037/061	Frankenleld
037/063	037/063	Riethagen
037/065	037/065	Bockhorn
037/067	037/067	Bergen
037/069	037/069	Hermannsburg
037/071		
037/073	037/073	Sprackenschl
037/075	037/075	Wiersdorf
037/077	027/077	Stäcken
037/079	037/079	Diesdort
037/081	037/081	Groß Wieblitz
037/083	037/083	Klein Gart7
037/085	037/085	Plathe
037/087	037/087	Groß Rossau
037/089	037/089	Polkern
037/091	037/091	Rohrbeck
037/093	037/093	UsUys Wulkau
037/095	037/095	Rübehorst
037/097	037/097	Sieversdorf
037/099	037/099	Lasikow
037/101	037/101	Brunne
037/105	037/105	Sommerfeld
037/107	037/107	Oranienburg
037/109	037/109	Zehlendorf
037/111	037/111	Ruhlsdorf
037/113	037/113	Klobbicke
037/115	037/115	Tornon
037/117	037/117	Schiffmühle
037/119	027/119	Alt-Wustrow
037/121	037/121	Voigtsdorf
037/123	037/123	Trossin
037/125	037/125	Ringenwalde
037/127	037/127	Dölzig
037/129	037/129	Hohenwalde
037/131	037/131	Himmelstädt
037/133	037/133	Gralow
037/135	027/135	Guschterhollander
037/137	037/137	Eschbruch
037/139	037/139	Modderwiese
037/141	037/141	Schneidemühlchen
037/145	037/145	Jasionna (Waldheim)
037/147	037/147	027/149
037/149		
037/151	037/151	Weraum
037/153	037/153	Jakubowo
037/155	027/155	Rombschin
037/157	037/157	Janowilz
037/159	037/159	Poslugowo
037/163	037/163	Ruhheim
037/171	037/171	Luisenfelde
038/033	038/033	Hebelermeer
038/035	028/035	Versen
038/037	038/037	Lahre
038/039	038/039	Lähden
038/041	038/041	Löningen
038/043	038/043	Borg
038/045	038/045	Addrup
038/047	038/047	Bakum
038/049	038/049	Barnstorf
038/051	038/051	Wohlstreck
038/053	038/053	Scholen
038/055	038/055	Brake
038/057	038/057	Windhorst
038/059	038/059	Balge
038/061	038/061	Rodewald
038/063	038/063	Gilten
038/065	038/065	horen
038/067	038/067	Hornbostel
038/069	038/069	Hustedt
038/071	038/071	Habighorsi
038/073	038/073	Steinhorst
038/075	038/075	Wentorf
038/077	038/077	Eutzen
038/079	038/079	Zasenheck
038/081	038/081	Beetzendori
038/083	038/083	Klein Apenburg
038/085	038/085	Kanrstedt
038/087	038/087	Dobberkau
038/089	038/089	brassau
038/091	038/091	lindtori
038/093	038/093	Camern
038/095	038/095	Rehberg
038/097	038/097	Usguymonennauen
038/099	038/099	Haage
038/101	038/101	Panau
038/103	038/103	Tietzow
038/105	038/105	Fichstadt
038/107	038/107	Germendorf
038/109	038/109	Schönwalde
038/111	038/111	Rüdnitz
038/113	038/113	Grünthal
038/115	038/115	Brunow
038/117	038/117	UsollWriezen
038/119	038/119	Alt-Wriezen
038/121	038/121	Groß Neuendorf
038/123	038/123	Neumühl
038/125	038/125	Blumberg
038/127	038/127	Vietz
038/129	038/129	Loppow
038/131	038/131	Giesenaue
038/133	038/133	Zantoch
038/135	038/135	Christophswalde
038/145	038/145	Peterawe
038/147	038/147	Stobnica Hauland
038/149	038/149	Eichquast (Nordwalde)
038/151	038/151	Kowanowko
038/153	038/153	Wojcicowo (Ruhleben)
038/155	038/155	Kakulin (Alden)
038/159	038/159	Schönbrunn
038/161	038/161	Niestronno (Fichtenwalde)
038/163	038/163	Parlin
039/029	039/029	Laar
039/031	039/031	Emlichheim
039/033	039/033	Hesepertwist
039/035	039/035	Geeste
039/037	039/037	Lotten
039/039	039/039	Dohren
039/041	039/041	Restrup
039/043	039/043	Groß Mimmelage
039/045	039/045	Langwege
039/047	039/047	Lehmden
039/049	039/049	Aschen
039/051	039/051	Hemsloh
039/053	039/053	Barenburg
039/055	039/055	Wehrenberg
039/057	039/057	Liebenau
039/059	039/059	Linsburg
039/061	020/061	Steimbke
039/063	039/063	Helstorf
039/065	039/065	Lindwedel
039/067	039/067	Wieckenberg
039/069	039/069	Boye
039/071	039/071	Helmerkamp
039/073	039/073	Groß Oesingen
039/075	039/075	Betzhorn
039/077	039/077	Boitzenhagen
039/079	039/079	Steimke
039/081	039/081	Köbbelitz
039/083	039/083	Zichtau
039/085	039/085	Schenkenhorst
039/087	039/087	Holzhausen
039/089	039/089	Schönfeld
039/091	039/091	Borstel
039/093	039/093	Neuermark
039/095	020/005	Wudicke
039/097	039/097	Stechow
039/099	030/009	Senzke
039/101	039/101	Retzow
039/103	020/102	Paaren
039/105	039/105	Bötzow
039/107	039/107	Stolpe
039/109	039/109	Franz. Buchholz
039/111	039/111	Blumberg
039/113	039/113	Willmersdorf
039/115	039/115	Klosterdorf
039/117	039/117	Reichenberg
039/119	020/110	Platkow
039/121	039/121	Wilhelmsaue
039/123	020/172	Kalenzig
039/125	039/125	Wilhelmsbruch
039/127	039/127	Pyrehne
039/129	039/129	Lossow
039/131	039/131	Hammer
039/133	039/133	Trebisch
039/135	039/135	Schweinert
039/137	039/137	Waitze
039/139	039/139	Neumerine
039/149	039/149	Uscikowo-Hauland
039/151	039/151	Kowano
039/153	039/153	Trojanowo
039/155	039/155	Revier
040/029	040/029	Itterbeck
040/031	040/031	Gölenkamp
040/033	040/033	Wietmarschen
040/035	040/035	Lingen
040/037	040/037	Baccum
040/039	040/039	Gerster
040/041	040/041	Fürstenau
040/043	040/043	Bersenbrück
040/045	040/045	Neuenkirchen
040/047	040/047	Rüschendorf
040/049	040/049	Burlage
040/051	040/051	Förlingen
040/053	040/053	Bahrenborstel
040/055	040/055	Kuppendorf
040/057	040/057	Schinna
040/059	040/059	Brokeloh
040/061	040/061	Empede
040/063	040/063	Rodenbostel
040/065	040/065	Wiechendorf
040/067	040/067	Wettmar
040/069	040/069	Adelheidsdorf
040/071	040/071	Sandlingen
040/073	040/073	Müden
040/075	040/075	Kästorf
040/077	040/077	Hoitlingen
040/079	040/079	Germenau
040/081	040/081	Dannefeld
040/083	040/083	Peckfitz
040/085	040/085	Weteritz
040/087	040/087	Volgfelde
040/089	040/089	Insel
040/091	040/091	Demker
040/093	040/093	Wust
040/095	040/095	Leopoldsburg
040/097	040/097	Gräningen
040/099	040/099	Garlitz
040/101	040/101	Päwesin
040/103	040/103	Etzin
040/105	040/105	Seegefeld
040/107	040/107	Berlin-Charlottenburg
040/109	040/109	Berlin-Neukölln
040/111	040/111	Biesdorf
040/113	040/113	Bollensdorf
040/115	040/115	Hennickendorf
040/119	040/119	Görlsdorf
040/121	040/121	Alt-Langsow
040/123	040/123	Küstrin
040/125	040/125	Stenzig
040/127	040/127	Mauskow
040/129	040/129	Neudorf
040/131	040/131	Waldowstrenk (Reitzenstein)
040/133	040/133	Falkenwalde
040/135	040/135	Rokitten
040/137	040/137	Goray (Eibendorf)
040/141	040/141	Daleszynko (Weissbrück)
040/143	040/143	Bialokosz
040/149	040/149	Pamiontkowo
040/153	na0/153	Glemboczek (Tiefland)
040/155	040/155	Wilhelmsfelde
041/031	041/031	Uelsen
041/033	041/033	Bakelde
041/035	041/035	Lohne
041/037	041/037	Messingen
041/039	041/039	Halverde
041/041	041/041	Südmerzen
041/043	041/043	Neuenkirchen
041/045	041/045	Epe
041/047	041/047	Hunteburg
041/049	041/049	Lemförde
041/051	041/051	Varl
041/053	041/053	Bohnhorst
041/055	041/055	Höfen
041/057	041/057	Heimsen
041/059	041/059	Mardorf
041/061	041/061	Bordenau
041/063	041/063	Osterwald
041/065	041/065	Isernhagen
041/067	041/067	Schillerslage
041/069	041/069	Dachtmissen
041/071	041/071	Eltze
041/073	041/073	Meinersen
041/075	041/075	Rötgesbüttel
041/077	041/077	Warmenau
041/079	041/079	Breitenrode
041/081	041/081	Miesterhorst
041/083	041/083	Jerchel
041/085	041/085	Potzenne
041/087	041/087	Salchau
041/089	041/089	Schernebeck
041/091	041/091	Schelldorf
041/093	041/093	Nielebock
041/095	041/095	Zabakuck
041/097	041/097	Bahnitz
041/099	041/099	Radewege
041/101	041/101	Roskow
041/103	041/103	Ketzin
041/105	041/105	Ferbitz
041/107	041/107	Steglitz
041/109	041/109	Lankwitz
041/111	041/111	Berlin-Friedrichshagen
041/113	041/113	Schöneiche
041/115	041/115	Lichtenow
041/117	041/117	Beerfelde
041/119	041/119	Arensdorf
