 19/213            54  20    22   0                        EST       69572 67166  
 19/215            54  20    22  10                        EST       69918 67197  
 19/217            54  20    22  20                        EST       70264 67229  
 19/219            54  20    22  30                        EST       70610 67261  
 20/ 43            54  15     7  50                        EST       40055 66901  
 20/ 53            54  15     8  40                        EST       41789 66754  
 20/ 55            54  15     8  50                        EST       42136 66727  
 20/ 57            54  15     9   0                        EST       42483 66700  
 20/ 59            54  15     9  10                        EST       42830 66674  
 20/ 61            54  15     9  20                        EST       43177 66649  
 20/ 63            54  15     9  30                        EST       43524 66625  
 20/ 65            54  15     9  40                        EST       43871 66601  
 20/ 67            54  15     9  50                        EST       44219 66578  
 20/ 69            54  15    10   0                        EST       44566 66556  
 20/ 71            54  15    10  10                        EST       44913 66534  
 20/ 73            54  15    10  20                        EST       45261 66514  
 20/ 75            54  15    10  30                        EST       45608 66494  
 20/ 77            54  15    10  40                        EST       45956 66474  
 20/ 79            54  15    10  50                        EST       46303 66456  
 20/ 81            54  15    11   0                        EST       46651 66438  
 20/ 95            54  15    12  10                        EST       49085 66333  
 20/ 97            54  15    12  20                        EST       49433 66321  
 20/ 99            54  15    12  30                        EST       49780 66310  
 20/101            54  15    12  40                        EST       50128 66299  
 20/103            54  15    12  50                        EST       50476 66290  
 20/105            54  15    13   0                        EST       50824 66280  
 20/107            54  15    13  10                        EST       51172 66272  
 20/135            54  15    15  30                        EST       56044 66231  
 20/137            54  15    15  40                        EST       56392 66234  
 20/139            54  15    15  50                        EST       56740 66237  
 20/141            54  15    16   0                        EST       57088 66241  
 20/143            54  15    16  10                        EST       57436 66246  
 20/145            54  15    16  20                        EST       57784 66251  
 20/147            54  15    16  30                        EST       58132 66258  
 20/149            54  15    16  40                        EST       58480 66264  
 20/151            54  15    16  50                        EST       58828 66272  
 20/153            54  15    17   0                        EST       59176 66280  
 20/155            54  15    17  10                        EST       59524 66290  
 20/157            54  15    17  20                        EST       59872 66299  
 20/159            54  15    17  30                        EST       60220 66310  
 20/161            54  15    17  40                        EST       60567 66321  
 20/163            54  15    17  50                        EST       60915 66333  
