	WORD	COGID	ALIGN
5376	111	1	b - - r o - t
5377	120	1	b - - r ou - t
5378	15	1	b - - r a - d
5379	40	1	b - - r au - t
5380	120	1	b - - r ou - t
5381	111	1	b - - r o - t
5382	111	1	b - - r o - t
5383	NA	1	- - - - - - -
5384	83	1	b - - r o - d
5385	120	1	b - - r ou - t
5386	111	1	b - - r o - t
5387	111	1	b - - r o - t
5388	111	1	b - - r o - t
5389	111	1	b - - r o - t
5390	111	1	b - - r o - t
5391	111	1	b - - r o - t
5392	111	1	b - - r o - t
5393	83	1	b - - r o - d
5394	111	1	b - - r o - t
5395	111	1	b - - r o - t
5396	111	1	b - - r o - t
5397	111	1	b - - r o - t
5398	106	1	b - - r oo - t
5399	100	1	b - - r oo - d
5400	100	1	b - - r oo - d
5401	106	1	b - - r oo - t
5402	111	1	b - - r o - t
5403	111	1	b - - r o - t
5404	111	1	b - - r o - t
5405	111	1	b - - r o - t
5406	111	1	b - - r o - t
5407	119	1	b - - r oue - t
5408	111	1	b - - r o - t
5409	83	1	b - - r o - d
5410	73	1	b - - r oa - d
5411	76	1	b - - r oa - t
5412	111	1	b - - r o - t
5413	83	1	b - - r o - d
5414	73	1	b - - r oa - d
5415	83	1	b - - r o - d
5416	83	1	b - - r o - d
5417	76	1	b - - r oa - t
5418	34	1	b - - r au - d
5419	34	1	b - - r au - d
5420	31	1	b - - r a - t
5421	83	1	b - - r o - d
5422	115	1	b - - r ou - d
5423	40	1	b - - r au - t
5424	120	1	b - - r ou - t
5425	111	1	b - - r o - t
5426	111	1	b - - r o - t
5427	111	1	b - - r o - t
5428	120	1	b - - r ou - t
5429	83	1	b - - r o - d
5430	111	1	b - - r o - t
5431	120	1	b - - r ou - t
5432	111	1	b - - r o - t
5433	111	1	b - - r o - t
5434	111	1	b - - r o - t
5435	175	1	p - - r o - t
5436	111	1	b - - r o - t
5437	111	1	b - - r o - t
5438	111	1	b - - r o - t
5439	111	1	b - - r o - t
5440	111	1	b - - r o - t
5441	106	1	b - - r oo - t
5442	111	1	b - - r o - t
5443	100	1	b - - r oo - d
5444	111	1	b - - r o - t
5445	106	1	b - - r oo - t
5446	111	1	b - - r o - t
5447	111	1	b - - r o - t
5448	111	1	b - - r o - t
5449	100	1	b - - r oo - d
5450	83	1	b - - r o - d
5451	83	1	b - - r o - d
5452	83	1	b - - r o - d
5453	83	1	b - - r o - d
5454	76	1	b - - r oa - t
5455	111	1	b - - r o - t
5456	111	1	b - - r o - t
5457	83	1	b - - r o - d
5458	83	1	b - - r o - d
5459	76	1	b - - r oa - t
5460	111	1	b - - r o - t
5461	83	1	b - - r o - d
5462	73	1	b - - r oa - d
5463	83	1	b - - r o - d
5464	120	1	b - - r ou - t
5465	120	1	b - - r ou - t
5466	15	1	b - - r a - d
5467	111	1	b - - r o - t
5468	120	1	b - - r ou - t
5469	115	1	b - - r ou - d
5470	111	1	b - - r o - t
5471	111	1	b - - r o - t
5472	111	1	b - - r o - t
5473	111	1	b - - r o - t
5474	111	1	b - - r o - t
5475	111	1	b - - r o - t
5476	83	1	b - - r o - d
5477	120	1	b - - r ou - t
5478	111	1	b - - r o - t
5479	83	1	b - - r o - d
5480	111	1	b - - r o - t
5481	111	1	b - - r o - t
5482	111	1	b - - r o - t
5483	106	1	b - - r oo - t
5484	111	1	b - - r o - t
5485	106	1	b - - r oo - t
5486	83	1	b - - r o - d
5487	111	1	b - - r o - t
5488	111	1	b - - r o - t
5489	106	1	b - - r oo - t
5490	111	1	b - - r o - t
5491	111	1	b - - r o - t
5492	111	1	b - - r o - t
5493	111	1	b - - r o - t
5494	83	1	b - - r o - d
5495	83	1	b - - r o - d
5496	83	1	b - - r o - d
5497	111	1	b - - r o - t
5498	111	1	b - - r o - t
5499	111	1	b - - r o - t
5500	76	1	b - - r oa - t
5501	83	1	b - - r o - d
5502	76	1	b - - r oa - t
5503	111	1	b - - r o - t
5504	111	1	b - - r o - t
5505	76	1	b - - r oa - t
5506	76	1	b - - r oa - t
5507	83	1	b - - r o - d
5508	76	1	b - - r oa - t
5509	NA	1	- - - - - - -
5510	111	1	b - - r o - t
5511	171	1	p - - r o - d
5512	120	1	b - - r ou - t
5513	111	1	b - - r o - t
5514	111	1	b - - r o - t
5515	111	1	b - - r o - t
5516	83	1	b - - r o - d
5517	83	1	b - - r o - d
5518	111	1	b - - r o - t
5519	111	1	b - - r o - t
5520	111	1	b - - r o - t
5521	111	1	b - - r o - t
5522	111	1	b - - r o - t
5523	171	1	p - - r o - d
5524	111	1	b - - r o - t
5525	111	1	b - - r o - t
5526	111	1	b - - r o - t
5527	111	1	b - - r o - t
5528	111	1	b - - r o - t
5529	111	1	b - - r o - t
5530	83	1	b - - r o - d
5531	106	1	b - - r oo - t
5532	100	1	b - - r oo - d
5533	83	1	b - - r o - d
5534	115	1	b - - r ou - d
5535	111	1	b - - r o - t
5536	111	1	b - - r o - t
5537	111	1	b - - r o - t
5538	76	1	b - - r oa - t
5539	111	1	b - - r o - t
5540	111	1	b - - r o - t
5541	83	1	b - - r o - d
5542	111	1	b - - r o - t
5543	120	1	b - - r ou - t
5544	120	1	b - - r ou - t
5545	111	1	b - - r o - t
5546	111	1	b - - r o - t
5547	76	1	b - - r oa - t
5548	111	1	b - - r o - t
5549	73	1	b - - r oa - d
5550	111	1	b - - r o - t
5551	113	1	b - - r o - tt
5552	31	1	b - - r a - t
5553	31	1	b - - r a - t
5554	31	1	b - - r a - t
5555	31	1	b - - r a - t
5556	111	1	b - - r o - t
5557	111	1	b - - r o - t
5558	106	1	b - - r oo - t
5559	100	1	b - - r oo - d
5560	111	1	b - - r o - t
5561	111	1	b - - r o - t
5562	111	1	b - - r o - t
5563	83	1	b - - r o - d
5564	111	1	b - - r o - t
5565	120	1	b - - r ou - t
5566	111	1	b - - r o - t
5567	171	1	p - - r o - d
5568	83	1	b - - r o - d
5569	111	1	b - - r o - t
5570	111	1	b - - r o - t
5571	111	1	b - - r o - t
5572	111	1	b - - r o - t
5573	111	1	b - - r o - t
5574	111	1	b - - r o - t
5575	111	1	b - - r o - t
5576	83	1	b - - r o - d
5577	83	1	b - - r o - d
5578	100	1	b - - r oo - d
5579	115	1	b - - r ou - d
5580	115	1	b - - r ou - d
5581	100	1	b - - r oo - d
5582	111	1	b - - r o - t
5583	111	1	b - - r o - t
5584	77	1	b - - r oä - t
5585	83	1	b - - r o - d
5586	111	1	b - - r o - t
5587	111	1	b - - r o - t
5588	111	1	b - - r o - t
