	WORD	COGID	ALIGN
1629	31	1	f l äi sch
1630	94	1	f l e sch
1631	94	1	f l e sch
1632	64	1	f l ee sch
1633	94	1	f l e sch
1634	64	1	f l ee sch
1635	94	1	f l e sch
1636	94	1	f l e sch
1637	94	1	f l e sch
1638	94	1	f l e sch
1639	94	1	f l e sch
1640	69	1	f l eh sch
1641	163	1	w l e sch
1642	94	1	f l e sch
1643	64	1	f l ee sch
1644	34	1	f l äi s k
1645	84	1	f l ei s k
1646	98	1	f l e s k
1647	84	1	f l ei s k
1648	60	1	f l eei s k
1649	84	1	f l ei s k
1650	98	1	f l e s k
1651	98	1	f l e s k
1652	98	1	f l e s k
1653	98	1	f l e s k
1654	84	1	f l ei s k
1655	94	1	f l e sch
1656	31	1	f l äi sch
1657	98	1	f l e s k
1658	79	1	f l ei sch
1659	64	1	f l ee sch
1660	79	1	f l ei sch
1661	15	1	f l aei sch
1662	79	1	f l ei sch
1663	79	1	f l ei sch
1664	79	1	f l ei sch
1665	79	1	f l ei sch
1666	84	1	f l ei s k
1667	64	1	f l ee sch
1668	64	1	f l ee sch
1669	94	1	f l e sch
1670	30	1	f l ai sch
1671	64	1	f l ee sch
1672	94	1	f l e sch
1673	94	1	f l e sch
1674	94	1	f l e sch
1675	64	1	f l ee sch
1676	94	1	f l e sch
1677	64	1	f l ee sch
1678	64	1	f l ee sch
1679	94	1	f l e sch
1680	64	1	f l ee sch
1681	64	1	f l ee sch
1682	94	1	f l e sch
1683	94	1	f l e sch
1684	69	1	f l eh sch
1685	64	1	f l ee sch
1686	64	1	f l ee sch
1687	64	1	f l ee sch
1688	64	1	f l ee sch
1689	94	1	f l e sch
1690	64	1	f l ee sch
1691	64	1	f l ee sch
1692	94	1	f l e sch
1693	64	1	f l ee sch
1694	31	1	f l äi sch
1695	64	1	f l ee sch
1696	64	1	f l ee sch
1697	94	1	f l e sch
1698	94	1	f l e sch
1699	94	1	f l e sch
1700	94	1	f l e sch
1701	79	1	f l ei sch
1702	94	1	f l e sch
1703	94	1	f l e sch
1704	94	1	f l e sch
1705	78	1	f l ei s
1706	157	1	v l ei ss
1707	84	1	f l ei s k
1708	34	1	f l äi s k
1709	94	1	f l e sch
1710	98	1	f l e s k
1711	34	1	f l äi s k
1712	84	1	f l ei s k
1713	84	1	f l ei s k
1714	98	1	f l e s k
1715	98	1	f l e s k
1716	98	1	f l e s k
1717	45	1	f l a s
1718	66	1	f l ee s k
1719	94	1	f l e sch
1720	60	1	f l eei s k
1721	64	1	f l ee sch
1722	79	1	f l ei sch
1723	79	1	f l ei sch
1724	79	1	f l ei sch
1725	64	1	f l ee sch
1726	79	1	f l ei sch
1727	31	1	f l äi sch
1728	94	1	f l e sch
1729	79	1	f l ei sch
1730	64	1	f l ee sch
1731	94	1	f l e sch
1732	79	1	f l ei sch
1733	79	1	f l ei sch
1734	64	1	f l ee sch
1735	64	1	f l ee sch
1736	64	1	f l ee sch
1737	94	1	f l e sch
1738	64	1	f l ee sch
1739	64	1	f l ee sch
1740	64	1	f l ee sch
1741	94	1	f l e sch
1742	94	1	f l e sch
1743	64	1	f l ee sch
1744	64	1	f l ee sch
1745	64	1	f l ee sch
1746	64	1	f l ee sch
1747	64	1	f l ee sch
1748	94	1	f l e sch
1749	64	1	f l ee sch
1750	94	1	f l e sch
1751	64	1	f l ee sch
1752	64	1	f l ee sch
1753	94	1	f l e sch
1754	94	1	f l e sch
1755	64	1	f l ee sch
1756	94	1	f l e sch
1757	94	1	f l e sch
1758	94	1	f l e sch
1759	94	1	f l e sch
1760	94	1	f l e sch
1761	94	1	f l e sch
1762	94	1	f l e sch
1763	64	1	f l ee sch
1764	64	1	f l ee sch
1765	85	1	f l ei ss
1766	140	1	f l y s
1767	93	1	f l e s
1768	98	1	f l e s k
1769	78	1	f l ei s
1770	88	1	f l ei sz k
1771	66	1	f l ee s k
1772	98	1	f l e s k
1773	98	1	f l e s k
1774	66	1	f l ee s k
1775	98	1	f l e s k
1776	98	1	f l e s k
1777	87	1	f l ei ss k
1778	66	1	f l ee s k
1779	84	1	f l ei s k
1780	82	1	f l ei s g
1781	79	1	f l ei sch
1782	79	1	f l ei sch
1783	79	1	f l ei sch
1784	79	1	f l ei sch
1785	79	1	f l ei sch
1786	79	1	f l ei sch
1787	79	1	f l ei sch
1788	79	1	f l ei sch
1789	79	1	f l ei sch
1790	94	1	f l e sch
1791	64	1	f l ee sch
1792	31	1	f l äi sch
1793	94	1	f l e sch
1794	64	1	f l ee sch
1795	94	1	f l e sch
1796	79	1	f l ei sch
1797	64	1	f l ee sch
1798	94	1	f l e sch
1799	94	1	f l e sch
1800	64	1	f l ee sch
1801	64	1	f l ee sch
1802	64	1	f l ee sch
1803	94	1	f l e sch
1804	64	1	f l ee sch
1805	64	1	f l ee sch
1806	64	1	f l ee sch
1807	94	1	f l e sch
1808	64	1	f l ee sch
1809	94	1	f l e sch
1810	94	1	f l e sch
1811	64	1	f l ee sch
1812	64	1	f l ee sch
1813	94	1	f l e sch
1814	94	1	f l e sch
1815	94	1	f l e sch
1816	64	1	f l ee sch
1817	94	1	f l e sch
1818	64	1	f l ee sch
1819	94	1	f l e sch
1820	94	1	f l e sch
1821	94	1	f l e sch
1822	94	1	f l e sch
1823	48	1	f l ä sch
1824	89	1	f l ej s
1825	63	1	f l ee s
1826	94	1	f l e sch
1827	93	1	f l e s
1828	99	1	f l e ss
1829	98	1	f l e s k
1830	66	1	f l ee s k
1831	98	1	f l e s k
1832	66	1	f l ee s k
1833	101	1	f l e ss k
1834	84	1	f l ei s k
1835	84	1	f l ei s k
1836	101	1	f l e ss k
1837	98	1	f l e s k
1838	66	1	f l ee s k
1839	79	1	f l ei sch
1840	79	1	f l ei sch
1841	79	1	f l ei sch
1842	79	1	f l ei sch
1843	79	1	f l ei sch
1844	79	1	f l ei sch
1845	79	1	f l ei sch
1846	79	1	f l ei sch
1847	79	1	f l ei sch
1848	79	1	f l ei sch
1849	55	1	f l eäi sch
1850	94	1	f l e sch
1851	31	1	f l äi sch
1852	64	1	f l ee sch
1853	94	1	f l e sch
1854	94	1	f l e sch
1855	94	1	f l e sch
1856	64	1	f l ee sch
1857	94	1	f l e sch
1858	64	1	f l ee sch
1859	94	1	f l e sch
1860	64	1	f l ee sch
1861	94	1	f l e sch
1862	94	1	f l e sch
1863	94	1	f l e sch
1864	64	1	f l ee sch
1865	64	1	f l ee sch
1866	94	1	f l e sch
1867	64	1	f l ee sch
1868	94	1	f l e sch
1869	94	1	f l e sch
1870	94	1	f l e sch
1871	94	1	f l e sch
1872	64	1	f l ee sch
1873	64	1	f l ee sch
1874	94	1	f l e sch
1875	94	1	f l e sch
1876	94	1	f l e sch
1877	94	1	f l e sch
1878	47	1	f l a sch
1879	94	1	f l e sch
